USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
1254, 0, 25, 0, 2, 2, 0
1255, 0, 25, 0, 2, 2, 0
1256, 0, 25, 0, 2, 2, 0
1257, 0, 25, 0, 2, 2, 0
1258, 0, 25, 0, 2, 2, 0
1259, 0, 25, 0, 2, 2, 0
1260, 0, 25, 0, 2, 2, 0
1261, 0, 25, 0, 2, 2, 0
1262, 0, 25, 0, 2, 2, 0
1263, 0, 25, 0, 2, 2, 0
1264, 0, 25, 0, 2, 2, 0
1265, 0, 25, 0, 2, 2, 0
1266, 0, 25, 0, 2, 2, 0
1267, 0, 25, 0, 2, 2, 0
1268, 0, 25, 0, 2, 2, 0
1269, 0, 25, 0, 2, 2, 0
1270, 0, 25, 0, 2, 2, 0
1271, 0, 25, 0, 2, 2, 0
1272, 0, 25, 0, 2, 2, 0
1273, 0, 25, 0, 2, 2, 0
1274, 0, 25, 0, 2, 2, 0
1275, 0, 25, 0, 1, 2, -25
1276, 0, 25, 0, 1, 2, -25
1277, 0, 25, 0, 1, 2, -25
1278, 0, 25, 0, 1, 1, 0
1279, 0, 25, 0, 1, 1, 0
1280, 0, 25, 0, 1, 1, 0
1281, 0, 25, 0, 1, 1, 0
1282, 0, 25, 0, 1, 1, 0
1283, 0, 25, 0, 1, 1, 0
1284, 0, 25, 0, 1, 1, 0
1285, 0, 25, 0, 1, 1, 0
1286, 0, 25, 0, 1, 1, 0
1287, 0, 25, 0, 1, 1, 0
1288, 0, 25, 0, 1, 1, 0
1289, 0, 25, 0, 1, 1, 0
1290, 0, 25, 0, 1, 1, 0
1291, 0, 25, 0, 1, 1, 0
1292, 0, 25, 0, 1, 1, 0
1293, 0, 25, 0, 1, 1, 0
1294, 0, 25, 0, 0, 0, -25
1295, 0, 25, 0, 0, 0, 0
1296, 0, 25, 0, 0, 0, 0
1297, 0, 25, 0, 0, 0, 0
1298, 0, 25, 0, 0, 0, 0
1299, 0, 25, 0, 0, 0, 0
1300, 0, 25, 0, 0, 0, 0
1301, 0, 25, 0, 0, 0, 0
1302, 0, 25, 0, 0, 0, 0
1303, 0, 25, 0, 0, 0, 0
1304, 0, 25, 0, 0, 0, 0
1305, 0, 25, 0, 0, 0, 0
1306, 0, 25, 0, 0, 0, 0
1307, 0, 25, 0, 0, 0, 0
1308, 0, 25, 0, 0, 0, 0
1309, 0, 25, 0, 0, 0, 0
1310, 0, 25, 0, 0, 0, 0
1311, 0, 25, 0, 0, 0, 0
1312, 0, 25, 0, 0, 0, 0
1313, 0, 25, 0, 0, 0, 0


