USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
344, 0, 25, 0, 224, 224, 0
345, 0, 25, 0, 224, 224, 0
346, 0, 25, 0, 224, 224, 0
347, 0, 25, 3, 352, 228, 1250
348, 0, 25, 4, 352, 234, 1250
349, 0, 25, 3, 352, 242, 1250
350, 0, 25, 4, 352, 250, 1250
351, 0, 25, 4, 352, 256, 1250
352, 0, 25, 4, 352, 264, 1250
353, 0, 25, 4, 352, 272, 1250
354, 0, 25, 4, 352, 280, 1250
355, 0, 25, 4, 352, 287, 1250
356, 0, 25, 4, 352, 294, 1250
357, 0, 25, 4, 352, 302, 1250
358, 0, 25, 3, 352, 310, 1075
359, 0, 25, 4, 352, 318, 900
360, 0, 25, 4, 352, 324, 700
361, 0, 25, 4, 352, 332, 500
362, 0, 25, 4, 352, 340, 300
363, 0, 25, 4, 352, 348, 125
364, 0, 25, 2, 352, 352, 0
365, 0, 25, 0, 352, 352, 0
366, 0, 25, 0, 352, 352, 0
367, 0, 25, 0, 352, 352, 0
368, 0, 25, 0, 352, 352, 0
369, 0, 25, 0, 352, 352, 0
370, 0, 25, 0, 352, 352, 0
371, 0, 25, 0, 352, 352, 0
372, 0, 25, 0, 352, 352, 0
373, 0, 25, 0, 352, 352, 0
374, 0, 25, 0, 352, 352, 0
375, 0, 25, 0, 352, 352, 0
376, 0, 25, 0, 352, 352, 0
377, 0, 25, 0, 352, 352, 0
378, 0, 25, 0, 352, 352, 0
379, 0, 25, 0, 352, 352, 0
380, 0, 25, 0, 352, 352, 0
381, 0, 25, 0, 352, 352, 0
382, 0, 25, 0, 368, 352, 400
383, 0, 25, 2, 368, 358, 300
384, 0, 25, 4, 368, 364, 100
385, 0, 25, 1, 368, 368, 0
386, 0, 25, 0, 368, 368, 0
387, 0, 25, 0, 368, 368, 0
388, 0, 25, 0, 368, 368, 0
389, 0, 25, 0, 368, 368, 0
390, 0, 25, 0, 368, 368, 0
391, 0, 25, 0, 368, 368, 0
392, 0, 25, 0, 368, 368, 0
393, 0, 25, 0, 368, 368, 0
394, 0, 25, 0, 368, 368, 0
395, 0, 25, 0, 368, 368, 0
396, 0, 25, 0, 368, 368, 0
397, 0, 25, 0, 368, 368, 0
398, 0, 25, 0, 368, 368, 0
399, 0, 25, 0, 368, 368, 0
400, 0, 25, 0, 368, 368, 0
401, 0, 25, 0, 368, 368, 0
402, 0, 25, 0, 368, 368, 0
403, 0, 25, -2, 352, 365, -350
404, 0, 25, -3, 352, 358, -175
405, 0, 25, -4, 352, 352, 0
406, 0, 25, 0, 352, 352, 0
407, 0, 25, 0, 352, 352, 0
408, 0, 25, 0, 352, 352, 0
409, 0, 25, 0, 352, 352, 0
410, 0, 25, 0, 352, 352, 0
411, 0, 25, 0, 352, 352, 0
412, 0, 25, 0, 352, 352, 0
413, 0, 25, 0, 352, 352, 0
414, 0, 25, 0, 352, 352, 0
415, 0, 25, 0, 352, 352, 0
416, 0, 25, 0, 352, 352, 0
417, 0, 25, 0, 352, 352, 0
418, 0, 25, 0, 352, 352, 0
419, 0, 25, 0, 352, 352, 0
420, 0, 25, 0, 352, 352, 0
421, 0, 25, 0, 352, 352, 0
422, 0, 25, 0, 352, 352, 0
423, 0, 25, 0, 352, 352, 0
424, 0, 25, 0, 352, 352, 0
425, 0, 25, 0, 352, 352, 0
426, 0, 25, 0, 352, 352, 0
427, 0, 25, 0, 352, 352, 0
428, 0, 25, 0, 352, 352, 0
429, 0, 25, 0, 352, 352, 0
430, 0, 25, -1, 224, 350, -1250
431, 0, 25, -3, 224, 344, -1250
432, 0, 25, -4, 224, 337, -1250
433, 0, 25, -4, 224, 330, -1250
434, 0, 25, -4, 224, 322, -1250
435, 0, 25, -3, 224, 314, -1250
436, 0, 25, -4, 224, 307, -1250
437, 0, 25, -4, 224, 300, -1250
438, 0, 25, -4, 224, 292, -1250
439, 0, 25, -4, 224, 284, -1250
440, 0, 25, -4, 224, 276, -1250
441, 0, 25, -4, 224, 268, -1150
442, 0, 25, -4, 224, 261, -950
443, 0, 25, -4, 224, 254, -750
444, 0, 25, -4, 224, 246, -550
445, 0, 25, -4, 224, 238, -375
446, 0, 25, -4, 224, 230, -200
447, 0, 25, -3, 224, 224, -25
448, 0, 25, 0, 224, 224, 0
