USB Serial Initialized
Ticks, Kd, Kp, V, Pr, Pm, T
1521, 0, 25, 0, 1206, 1206, 0
1522, 0, 25, 0, 1206, 1206, 0
1523, 0, 25, 0, 1206, 1206, 0
1524, 0, 25, 0, 1206, 1206, 0
1525, 0, 25, 0, 1206, 1206, 0
1526, 0, 25, 0, 1206, 1206, 0
1527, 0, 25, 0, 1206, 1206, 0
1528, 0, 25, 0, 1206, 1206, 0
1529, 0, 25, 0, 1206, 1206, 0
1530, 0, 25, 0, 1206, 1206, 0
1531, 0, 25, 0, 1206, 1206, 0
1532, 0, 25, 0, 1206, 1206, 0
1533, 0, 25, 0, 1206, 1206, 0
1534, 0, 25, 0, 1206, 1206, 0
1535, 0, 25, 0, 1206, 1206, 0
1536, 0, 25, 0, 1206, 1206, 0
1537, 0, 25, 0, 1206, 1206, 0
1538, 0, 25, 0, 1334, 1206, 1250
1539, 0, 25, 2, 1334, 1208, 1250
1540, 0, 25, 2, 1334, 1210, 1250
1541, 0, 25, 2, 1334, 1214, 1250
1542, 0, 25, 1, 1334, 1217, 1250
1543, 0, 25, 2, 1334, 1220, 1250
1544, 0, 25, 1, 1334, 1224, 1250
1545, 0, 25, 2, 1334, 1226, 1250
1546, 0, 25, 2, 1334, 1230, 1250
1547, 0, 25, 1, 1334, 1232, 1250
1548, 0, 25, 2, 1334, 1236, 1250
1549, 0, 25, 2, 1334, 1239, 1250
1550, 0, 25, 2, 1334, 1242, 1250
1551, 0, 25, 2, 1334, 1246, 1250
1552, 0, 25, 1, 1334, 1248, 1250
1553, 0, 25, 2, 1334, 1252, 1250
1554, 0, 25, 1, 1334, 1255, 1250
1555, 0, 25, 2, 1334, 1258, 1250
1556, 0, 25, 1, 1334, 1262, 1250
1557, 0, 25, 2, 1334, 1264, 1250
1558, 0, 25, 2, 1334, 1268, 1250
1559, 0, 25, 2, 1334, 1270, 1250
1560, 0, 25, 2, 1334, 1274, 1250
1561, 0, 25, 1, 1334, 1276, 1250
1562, 0, 25, 2, 1334, 1280, 1250
1563, 0, 25, 2, 1334, 1283, 1250
1564, 0, 25, 2, 1334, 1286, 1200
1565, 0, 25, 2, 1334, 1290, 1100
1566, 0, 25, 1, 1334, 1292, 1050
1567, 0, 25, 2, 1334, 1296, 950
1568, 0, 25, 1, 1334, 1299, 900
1569, 0, 25, 2, 1334, 1302, 800
1570, 0, 25, 1, 1334, 1306, 725
1571, 0, 25, 2, 1334, 1308, 650
1572, 0, 25, 2, 1334, 1312, 550
1573, 0, 25, 1, 1334, 1315, 500
1574, 0, 25, 2, 1334, 1318, 400
1575, 0, 25, 1, 1334, 1322, 325
1576, 0, 25, 2, 1334, 1324, 250
1577, 0, 25, 2, 1334, 1328, 150
1578, 0, 25, 2, 1334, 1330, 100
1579, 0, 25, 1, 1334, 1334, 25
1580, 0, 25, 0, 1334, 1334, 0
1581, 0, 25, 0, 1334, 1334, 0
1582, 0, 25, 0, 1334, 1334, 0
1583, 0, 25, 0, 1334, 1334, 0
1584, 0, 25, 0, 1334, 1334, 0
1585, 0, 25, 0, 1334, 1334, 0
1586, 0, 25, 0, 1334, 1334, 0
1587, 0, 25, 0, 1334, 1334, 0
1588, 0, 25, 0, 1334, 1334, 0
1589, 0, 25, 0, 1334, 1334, 0
1590, 0, 25, 0, 1334, 1334, 0
1591, 0, 25, 0, 1334, 1334, 0
1592, 0, 25, 0, 1334, 1334, 0
1593, 0, 25, 0, 1334, 1334, 0
1594, 0, 25, 0, 1350, 1334, 400
1595, 0, 25, 2, 1350, 1336, 350
1596, 0, 25, 1, 1350, 1340, 275
1597, 0, 25, 2, 1350, 1342, 200
1598, 0, 25, 2, 1350, 1346, 100
1599, 0, 25, 1, 1350, 1348, 50
